"minLL","base","Label","Yr","recdev"
32.1205,27.5038,"Retain_L_infl_BottomTrawl(1)_BLK2repl_1990",1990,FALSE
1.83387,0.969838,"Retain_L_width_BottomTrawl(1)_BLK2repl_1982",1982,FALSE
1.54521,1.83038,"Retain_L_width_BottomTrawl(1)_BLK2repl_1990",1990,FALSE
1.73605,1.71879,"Retain_L_asymptote_logit_BottomTrawl(1)_BLK1repl_1982",1982,FALSE
1.17062,0.785478,"Retain_L_asymptote_logit_BottomTrawl(1)_BLK1repl_1990",1990,FALSE
0.605336,0.108164,"Retain_L_asymptote_logit_BottomTrawl(1)_BLK1repl_1998",1998,FALSE
38.6736,38.6839,"Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
37.9989,38.0161,"Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
37.3852,37.3975,"Size_DblN_peak_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
3.38373,3.37076,"Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
3.09021,3.08084,"Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
2.78262,2.79666,"Size_DblN_ascend_se_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
4.27949,4.24011,"Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
3.21954,3.05567,"Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
-1.39918,-1.41576,"Size_DblN_descend_se_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
-2.21816,-1.92864,"Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_1916",1916,FALSE
-0.566781,-0.424415,"Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_1983",1983,FALSE
1.67226,1.56231,"Size_DblN_end_logit_MidwaterTrawl(2)_BLK7repl_2002",2002,FALSE
4.5912,4.5912,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_1916",1916,FALSE
1.66029,1.66029,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_1983",1983,FALSE
1.84856,1.85378,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_2002",2002,FALSE
8.94664,8.94664,"Retain_L_asymptote_logit_MidwaterTrawl(2)_BLK12repl_2011",2011,FALSE
43.266,42.788,"Size_DblN_peak_Hake(3)_BLK11repl_1916",1916,FALSE
2.5168,2.50445,"Size_DblN_top_logit_Hake(3)_BLK11repl_1916",1916,FALSE
3.77233,3.72134,"Size_DblN_ascend_se_Hake(3)_BLK11repl_1916",1916,FALSE
37.2506,37.2175,"Size_DblN_peak_HnL(5)_BLK5repl_1916",1916,FALSE
3.78207,3.74661,"Size_DblN_ascend_se_HnL(5)_BLK5repl_1916",1916,FALSE
