"year","state","fleet","sector","landings_mt"
1957,"Washington","bottom trawl",NA,0.1
1957,"Washington","hook and line",NA,0
1957,"Washington","midwater trawl",NA,0
1957,"Washington","net",NA,0
1958,"California","bottom trawl",NA,284.3
1958,"California","hook and line",NA,36.6
1958,"California","midwater trawl",NA,0
1958,"California","net",NA,0
1958,"Oregon","bottom trawl",NA,380.4
1958,"Oregon","hook and line",NA,0.1
1958,"Oregon","midwater trawl",NA,0
1958,"Oregon","net",NA,0
1958,"Washington","bottom trawl",NA,0.2
1958,"Washington","hook and line",NA,0
1958,"Washington","midwater trawl",NA,0
1958,"Washington","net",NA,0
1959,"California","bottom trawl",NA,229.9
1959,"California","hook and line",NA,28.6
1959,"California","midwater trawl",NA,0
1959,"California","net",NA,0
1959,"Oregon","bottom trawl",NA,412.8
1959,"Oregon","hook and line",NA,0.2
1959,"Oregon","midwater trawl",NA,0
1959,"Oregon","net",NA,0
1959,"Washington","bottom trawl",NA,0.1
1959,"Washington","hook and line",NA,0
1959,"Washington","midwater trawl",NA,0
1959,"Washington","net",NA,0
1960,"California","bottom trawl",NA,180
1960,"California","hook and line",NA,21.9
1960,"California","midwater trawl",NA,0
1960,"California","net",NA,0
1960,"Oregon","bottom trawl",NA,608.6
1960,"Oregon","hook and line",NA,0.2
1960,"Oregon","midwater trawl",NA,0
1960,"Oregon","net",NA,0
1960,"Washington","bottom trawl",NA,0.2
1960,"Washington","hook and line",NA,0
1960,"Washington","midwater trawl",NA,0
1960,"Washington","net",NA,0
1961,"California","bottom trawl",NA,118.4
1961,"California","hook and line",NA,15
1961,"California","midwater trawl",NA,0
1961,"California","net",NA,0
1961,"Oregon","bottom trawl",NA,543.1
1961,"Oregon","hook and line",NA,0.5
1961,"Oregon","midwater trawl",NA,0
1961,"Oregon","net",NA,0
1961,"Washington","bottom trawl",NA,0.2
1961,"Washington","hook and line",NA,0
1961,"Washington","midwater trawl",NA,0
1961,"Washington","net",NA,0
1962,"California","bottom trawl",NA,115.9
1962,"California","hook and line",NA,15.4
1962,"California","midwater trawl",NA,0
1962,"California","net",NA,0
1962,"Oregon","bottom trawl",NA,623.8
1962,"Oregon","hook and line",NA,0.4
1962,"Oregon","midwater trawl",NA,0
1962,"Oregon","net",NA,0
1962,"Washington","bottom trawl",NA,2
1962,"Washington","hook and line",NA,0
1962,"Washington","midwater trawl",NA,0
1962,"Washington","net",NA,0
1963,"California","bottom trawl",NA,221.2
1963,"California","hook and line",NA,19.6
1963,"California","midwater trawl",NA,0
1963,"California","net",NA,0
1963,"Oregon","bottom trawl",NA,190.2
1963,"Oregon","hook and line",NA,0.4
1963,"Oregon","midwater trawl",NA,0
1963,"Oregon","net",NA,0
1963,"Washington","bottom trawl",NA,2.1
1963,"Washington","hook and line",NA,0
1963,"Washington","midwater trawl",NA,0
1963,"Washington","net",NA,0
1964,"California","bottom trawl",NA,104.1
1964,"California","hook and line",NA,13
1964,"California","midwater trawl",NA,0
1964,"California","net",NA,0
1964,"Oregon","bottom trawl",NA,480.9
1964,"Oregon","hook and line",NA,0.1
1964,"Oregon","midwater trawl",NA,0
1964,"Oregon","net",NA,0
1964,"Washington","bottom trawl",NA,3.2
1964,"Washington","hook and line",NA,0
1964,"Washington","midwater trawl",NA,0
1964,"Washington","net",NA,0
1965,"California","bottom trawl",NA,155.9
1965,"California","hook and line",NA,20.2
1965,"California","midwater trawl",NA,0
1965,"California","net",NA,0
1965,"Oregon","bottom trawl",NA,80.6
1965,"Oregon","hook and line",NA,0.6
1965,"Oregon","midwater trawl",NA,0
1965,"Oregon","net",NA,0
1965,"Washington","bottom trawl",NA,2.2
1965,"Washington","hook and line",NA,0
1965,"Washington","midwater trawl",NA,0
1965,"Washington","net",NA,0
1966,NA,"hake","at-sea",3670
1966,"California","bottom trawl",NA,123
1966,"California","hake","shoreside",0
1966,"California","hook and line",NA,37.4
1966,"California","midwater trawl",NA,0
1966,"California","net",NA,0
1966,"Oregon","bottom trawl",NA,455.8
1966,"Oregon","hake","shoreside",0
1966,"Oregon","hook and line",NA,0.4
1966,"Oregon","midwater trawl",NA,0
1966,"Oregon","net",NA,0
1966,"Washington","bottom trawl",NA,0.6
1966,"Washington","hake","shoreside",0
1966,"Washington","hook and line",NA,0
1966,"Washington","midwater trawl",NA,0
1966,"Washington","net",NA,0
1967,NA,"hake","at-sea",3902
1967,"California","bottom trawl",NA,141.9
1967,"California","hake","shoreside",0
1967,"California","hook and line",NA,31.9
1967,"California","midwater trawl",NA,0
1967,"California","net",NA,0
1967,"Oregon","bottom trawl",NA,743.9
1967,"Oregon","hake","shoreside",0
1967,"Oregon","hook and line",NA,1.1
1967,"Oregon","midwater trawl",NA,0
1967,"Oregon","net",NA,0
1967,"Washington","bottom trawl",NA,0.6
1967,"Washington","hake","shoreside",0
1967,"Washington","hook and line",NA,0
1967,"Washington","midwater trawl",NA,0
1967,"Washington","net",NA,0
1968,NA,"hake","at-sea",1956
1968,"California","bottom trawl",NA,155
1968,"California","hake","shoreside",0
1968,"California","hook and line",NA,19
