"year","state","fleet","landings_mt"
1987,"CA","hook and line",52.4
1987,"CA","midwater trawl",0
1987,"CA","net",584.6
1987,"OR","bottom trawl",1185.5
1987,"OR","hook and line",2.7
1987,"OR","midwater trawl",5114.5
1987,"OR","net",0
1987,"WA","bottom trawl",698.4
1987,"WA","hook and line",0
1987,"WA","midwater trawl",3013.1
1987,"WA","net",0
1988,"CA","bottom trawl",1585.3
1988,"CA","hook and line",72.3
1988,"CA","midwater trawl",0
1988,"CA","net",220.7
1988,"OR","bottom trawl",1152.8
1988,"OR","hook and line",1
1988,"OR","midwater trawl",4305.6
1988,"OR","net",0
1988,"WA","bottom trawl",1290.3
1988,"WA","hook and line",0.2
1988,"WA","midwater trawl",1785
1988,"WA","net",0
1989,"CA","bottom trawl",1838.3
1989,"CA","hook and line",44.7
1989,"CA","midwater trawl",0
1989,"CA","net",253.6
1989,"OR","bottom trawl",2027.5
1989,"OR","hook and line",0.4
1989,"OR","midwater trawl",4957.7
1989,"OR","net",0
1989,"WA","bottom trawl",647.7
1989,"WA","hook and line",0
1989,"WA","midwater trawl",2726.9
1989,"WA","net",0.1
1990,"CA","bottom trawl",1812.7
1990,"CA","hook and line",126.9
1990,"CA","midwater trawl",0
1990,"CA","net",411.2
1990,"OR","bottom trawl",2289.3
1990,"OR","hook and line",7.3
1990,"OR","midwater trawl",3352.8
1990,"OR","net",0
1990,"WA","bottom trawl",1210.4
1990,"WA","hook and line",0.2
1990,"WA","midwater trawl",1021.1
1990,"WA","net",0
1991,"CA","bottom trawl",996.4
1991,"CA","hook and line",89.7
1991,"CA","midwater trawl",0
1991,"CA","net",234.8
1991,"OR","bottom trawl",1989.2
1991,"OR","hook and line",5.2
1991,"OR","midwater trawl",1779.9
1991,"OR","net",0
1991,"WA","bottom trawl",878.9
1991,"WA","hook and line",0.3
1991,"WA","midwater trawl",260.2
1991,"WA","net",0
1992,"CA","bottom trawl",917.4
1992,"CA","hook and line",165.8
1992,"CA","midwater trawl",0
1992,"CA","net",45.4
1992,"OR","bottom trawl",2709.5
1992,"OR","hook and line",9.2
1992,"OR","midwater trawl",1183.8
1992,"OR","net",0
1992,"WA","bottom trawl",646.5
